index,source,reference,seq2seq_output,transformer_output,seq2seq_fluency,seq2seq_faithfulness,seq2seq_hallucination,seq2seq_compression,transformer_fluency,transformer_faithfulness,transformer_hallucination,transformer_compression
584,"an australian band has told fans 'stop listening to us altogether' if they disagree with its opinion on the imminent bali nine execution, after a series of heated exchanges over the weekend. sydney electronic duo the presets, made up of julian hamilton and kim moyes, published a series of posts on its facebook page on saturday night and sunday morning, hours after it was announced andrew chan and myuran sukumaran would be executed this week. 'if you agree with murder, lack compassion and openly ","australian band, the presets, shared a number of posts on facebook . attacked fans who supported the execution of bali nine duo in indonesia . 'please unfollow us, delete all our music and stop listening', one read . fans were divided as some supported the band while others did not .",the video posted a ' of the's ' . . the . . he't want to be a ' and a ' .'s . . .,new: the new: a new york-year-old is a year . the first-old was in the new york and the world's first-year years in the first time .,,,,0.119,,,,0.123
901,"the liberal democrats have admitted they are on course to lose at least 20 mps, but claim this could still be enough to put them back in power. nick clegg today continued his tour of 60 seats where the party is defending perilous majorities or hope to make gains, stopping off in hampshire where the lib dems held eastleigh after chris huhne was jailed. but behind the scenes, senior party sources admit their current total of 57 mps will be slashed to 'in the thirties' after a catastrophic collapse","party on course to lose a third of the 57 seats it won in 2010, sources say . clegg admits party is fighting 'tooth and nail' in a tenth of constituencies . aides think that even 30 seats could be enough to hold balance of power .",labour leader will be to to vote to vote . labour mps will be a ' of tax cuts in the uk .,new: the new york's first-old has been found in the world cup . the world's united are in the first-year-old is a year . the first of the world of a year's 'i',,,,0.102,,,,0.147
59,"manny pacquiao says he has to fight floyd mayweather like it is the last of his life when he touches gloves with the undefeated american in the $300m bout on may 2. the filipino has been installed as the underdog for the mega-fight in las vegas, which has been billed as the biggest sporting event in history with two of the best pound-for-pound fighters of all time facing off. and to come out on top pacquiao says he must be a 'warrior in the ring', bringing a never-say-die attitude to each round ","manny pacquiao takes on floyd mayweather in $300m mega-fight on may 2 . filipino boxer says he will fight like it is the last of his life in las vegas . pacquiao has no doubt he will be the first to beat mayweather . insists he will be a warrior in fight and will look to win each round . floyd mayweather vs manny pacquiao: wbc unveil $1m emerald green belt . floyd mayweather 'is a control freak', slams pacman's promoter bob arum .",lewis hamilton will be in the world's world cup . he will be the to the world cup in the . . he has been the in the in a fight floyd mayweather .,new: new: the new york's united's first-year-old has been in the world cup . he has been a first-old's 'the-old is a year',,,,0.153,,,,0.104
328,"manchester united's radamel falcao believes manchester city counterpart sergio aguero is his side's biggest threat. the colombian striker was speaking at the #headtohead for puma's 'evospeed 1.3' alongside the argentine when he spoke highly of this weekend's manchester derby. falcao said: 'they are a very talented team, with a danger all over the pitch, but sergio aguero has been a really dangerous player for manchester united in the past matches. manchester united striker radamel falcao believe",manchester united welcome manchester city to old trafford on sunday . sergio aguero has scored six goals against man utd since joining city . radamel falcao says the argentine is the main threat for man united . falcao is hoping to make his first appearance in a manchester derby . colombian says he is happy at man utd despite bit-part role this season .,manchester united has been linked to manchester city rivals atletico madrid . manchester city striker has scored the premier league goals . manchester united . the united is a real madrid .,new: new: the united's united't have been in the world cup . he says he says the world's first-year-old is a new york .,,,,0.151,,,,0.113
96,"antarctica has experienced its highest temperature on record, according to meteorologists. sensors at argentina's esperanza base on the northern tip of the antarctic peninsula recorded a temperature of 17.5°c (63.5°f). according to meteorologists this is potentially a new record for the warmest temperature measured on the frozen continent. the new temperature record was measured on the northern tip of the antarctic peninsula (pictured) where the ice shelf covering the sea has declined considerab",temperatures at esperanza base on antarctic peninsula reached 63.5°f . area was hit by two day heatwave that beat previous temperature records . antarctic peninsula is one of the fastest warming areas on the continent .,scientists have been in the of the of of the . . . the . of the,new: the world cup of the world's first-old is a year . the world of the first of a world cup in the world . the first-year-old has been in a year in a world of a year,,,,0.08,,,,0.179
312,"manchester city supporters sing a song with the line: 'we're not really here.' it sums up the approach of many of their fanbase – they haven't fully bought into the idea that city could be one of the giants of europe. celebrity fan ricky hatton wants 'the old city back', while rock-god city lover noel gallagher says there is 'apathy' towards the champions league among the fans. manuel pellegrini could be worried about his position at manchester city after losing against their fierce rivals . (le","manchester united 4-2 manchester city: click here to read the match report . manuel pellegrini has orchestrated a limp premier league title defence . city didn't go for diego costa, cesc fabregas or angel di maria . the are stuck with the likes of jesus navas at the etihad stadium . the defending champions must bring in big names to grow as a club . adrian durham: louis van gaal should win manager of the year .",manchester city's champions league goals in the premier league clash . manchester city striker scored twice goals for real madrid . the . . the united's side in the .,new: new: the world's united's first-year-old has been in the world cup . the first-old is a year in the first of the first time of the world,,,,0.137,,,,0.128
974,"first it was revealed that lashings of baby oil were used to keep aidan turner's rippling torso looking suitably divine in the hit bbc sunday night series poldark. then came the admission that while aidan, 31, very 'definitely' did not wear mascara to enhance his seductive stares, he was partial to a little eyeliner to define his smouldering eyes. now, it seems eagle-eyed poldark fans have a new question on their lips: just where has aidan's chest hair gone? scroll down for video . a good smatte",photos taken for bbc show being human see aidan turner with a full 'rug' ...but his chest hair in poldark's shirtless scenes looks distinctly pruned . fans take to twitter to comment on new poldark male grooming debate . aidan admits he uses baby oil to make his muscles look good in the series .,"harry styles has been a new york for the . . he has been inspired by the ., but he has a ' . he's a ' of his own . .",new: the new york's first-year-old is a 'the-old' with a 'i' with the first-old . he was a year's 'i have been found in the world',,,,0.162,,,,0.131
299,"jake shaw, 21, died after falling from the upper floor of the scout centre in the swiss alps where he had been volunteering as a climbing instructor . a popular graduate fell to his death from a bedroom window in the swiss alps after playing drinking games, an inquest heard. jake shaw was just beginning his gap year - volunteering as a climbing instructor at kandersteg international scout centre - when the tragedy occurred last year. the 21-year-old had fallen 25ft (8m) from the upper floor of t","jake shaw, 21, died after falling 25ft from upper floor of the scout centre . he was in a 'very drunk state' after playing drinking games before he died . believed to have lost balance as he tried to open window and toppled out . coroner has ruled that the gap year graduate's death was an accident .",ernie els was found dead at the hospital in his home . he was found in the hospital . he had been a in his waist . the . . the was in his father of the .,"new: the new york, a new york and the new: a man's wife of the man't have been found in the first-old . he was found in a year in a 'i'",,,,0.172,,,,0.145
277,"the devastated mother of a schoolgirl killed by a speeding driver who was on drugs had ‘dark thoughts’ about committing suicide at the spot where her daughter died, a court heard yesterday. liberty baker, 14, was walking to school when robert blackwell, 19, lost control of his car and ploughed into her. he had been smoking cannabis and was allegedly checking a text on his phone at the time of the crash. scroll down for video . heartbreak: maureen baker is consoled by her husband, paul, outside o","liberty baker was killed as she walked to school in witney, oxfordshire . robert blackwell, 19, was texting at the wheel at the time of the crash . the teenager had been smoking drugs the day before the crash last june . liberty's father, paul baker, waved her off to school just moments earlier . he said the family had been left 'devastated' by the shortness of sentence . for confidential support call the samaritans in the uk on 08457 90 90 90, visit a local samaritans branch or click here for details .","david mitchell, 42, was found dead at the hospital in the . . she was found in the, but she was a . . the boy's mother was a in a knife for a knife . .",police say she was found in the man in the woman . she was arrested in the family of the family's home . the man was found on the family in the,,,,0.168,,,,0.145
924,manchester united striker wayne rooney has revealed he gets annoyed when fans chant his name at him in the street in an interview with ant and dec's 'little' counterparts on saturday night takeaway. the england captain enjoyed a kick-around with neil overend and hayden reid - or little ant and dec as they are better known - for the entertainment show to be aired on itv at 7pm on saturday. and rooney admitted in the interview with the telly pranksters that he can find it a little tiresome to have,wayne rooney is set to appear on ant and dec's saturday night takeaway . the england captain jokes around in interview with little ant and dec . manchester united forward admits that public attention can get annoying . the programme and interview will be aired on saturday night from 7pm .,manchester united has been the for the premier league on saturday . he says he has been a ' of the''s . . . he has a ' in the .,new: new: the new york's new: 'i''t be a new york . he says he is a 'the-year-old',,,,0.145,,,,0.084
601,"australia's 'tiny hearts and balls of steel', it's apparently the perfect combination in dealing with asylum seeker boats, and a policy which could be copied by britain, according to a british commentator. controversial the sun columnist katie hopkins has heaped praise on tony abbott's government for its success in stopping the boats, which was a key election plank. but her backhanded compliments may not sit well with our policy-makers and social justice groups, in which she claimed australia's ","australia's 'tiny hearts' approach to stopping the boats should be copied by britain . controversial columnist katie hopkins wrote that tony abbott's policy was effective and like 'an aussie version of sharia stoning' 'australians are like british but with balls of steel, can-do brains, tiny hearts and whacking great gunships' she calls those on board migrant boats 'cockroaches built to survive a nuclear bomb' it came as more than 900 people were feared drowned on a sunken fishing boat headed for italy .",the's new york has been criticised by the . . . the ' of the ''''s ' .'s . . 'we'' 'the'' and ''s'',new: new: the new york's first-old says . he is a 'i' for the new: 'the-year-old',,,,0.118,,,,0.078
439,santiago vergini has indicated he may be ready to extend his stay at sunderland after revealing premier league survival could trigger the offer of a two-year permanent contract. the 26-year-old argentinian returned to the stadium of light on a season-long loan deal from costa rican side sport uruguay de coronado in august last year and has made 35 appearances to date this season. the last of them was a start in sunday's 1-0 derby victory over newcastle which provided a huge boost to the club's t,santiago vergini is on a season-long loan at sunderland . defender has an option for a two-year deal at black cats if they stay up . argentine admits only downside at wearside has been the weather .,manchester united has scored twice goals for the premier league table . he has scored the the for the . . . the . the the striker has been a to the the .,new: new: the world's united's first-old's,,,,0.165,,,,0.029
837,"david haye was arrested at dubai airport and held in a police cell over a £341,000 bounced cheque, it has been reported. former two-weight world champion haye, 34, was stopped by officials on his arrival at dubai international airport and accused of fraud by writing a cheque as payment for a new property which bounced. the boxer, who has not fought since he defeated dereck chisora in july 2012, also handed over his passport to authorities, and has been unable to leave the united arab emirates - ",david haye stopped on arrival at dubai international airport for a holiday . he was taken to a police station and handed over his passport . cheque had been the final payment on a new property in the uae . he says the 'bounced' cheque was down to an administrative error . the 34-year-old hasn't fought since beating dereck chisora in july 2012 .,"david cameron, 68, was arrested in the in the . . he was a ' of the . he's ' . the's . he has been a to to the the of his job .",new: the new york's first-year-old is a 'the-old' in the new: 'i' with a 'i have been found in the first time of the first-old .,,,,0.16,,,,0.119
